Address,Latitude,Longitude,APC,LP,PDP,NNPP
"UGA GIRLS, AGUATA, ANAMBRA",5.9353459,7.0794263,1,98,0,0
"MBALAOYE SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,170,2,2
"CIVIC CENTRE, AGUATA, ANAMBRA",5.9420282,7.1226675,1,70,2,0
"G. S. S. UMUCHI, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0
"AMAHIE PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,208,2,0
"COMM. SCHOOL ACHALLA, AGUATA, ANAMBRA",5.9337809,7.1626575,2,112,2,0
"OSETE VILLAGE HALL, AGUATA, ANAMBRA",5.934708,7.1307849,3,197,0,1
"KINDER SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,76,1,0
"KINDER SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,4,71,0,0
"UMUMILO HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,220,0,0
"IGWEBUIKE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,106,2,2
"ST. PETERS UDALAOHISIKE, AGUATA, ANAMBRA",6.0134988,7.1050677,0,0,0,0
"EKEBELEBE ACHALLA, AGUATA, ANAMBRA",5.931704,7.1614203,2,112,2,0
"OGU-EZEANI HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,86,0,0
"TOWN HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,4,123,7,2
"UMUCHU HALL, AGUATA, ANAMBRA",5.9347565,7.1335805,1,120,6,0
"UMUGAMA HALL, AGUATA, ANAMBRA",5.9231982,7.1348861,2,249,2,0
"IBUGHUBU HALL, AGUATA, ANAMBRA",5.9426514,7.1490632,2,185,0,0
"COMMUNITY SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,119,1,0
"UCHENABO HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,84,0,0
"OZALAKAOKWA TECH. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,119,3,1
"B.H.S. UMUCHU, AGUATA, ANAMBRA",5.9347565,7.1335805,0,43,3,0
"UGWUAKWU COMM. HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,139,5,0
"PROGRESSIVE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,59,0,0
"OBIAKPALAEKE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,104,1,0
"OZALLA/AKUKWA P.O., AGUATA, ANAMBRA",6.0085842,7.1009488,2,146,2,0
"SALVATION ARMY, AGUATA, ANAMBRA",6.0085842,7.1009488,0,60,8,0
"UGWUAKWU KINDER, AGUATA, ANAMBRA",6.0085842,7.1009488,1,60,1,0
"ANGLICAN KINDER, AGUATA, ANAMBRA",6.0085842,7.1009488,0,55,1,0
"IRUILE VILLAGE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,113,1,0
"EKWULU VILLAGE HALL , AGUATA, ANAMBRA",6.0085842,7.1009488,1,120,1,0
"PRY. SCHOOL, UMUONA IV, AGUATA, ANAMBRA",6.0396495,7.0427312,0,85,1,0
"PRY. SCHOOL, UMUONA V, AGUATA, ANAMBRA",6.0396495,7.0427312,0,97,0,0
"PRY. SCHOOL, UMUONA VI, AGUATA, ANAMBRA",6.0396495,7.0427312,0,29,0,1
"PRY. SCHOOL, UMUONA VII, AGUATA, ANAMBRA",6.0396495,7.0427312,0,83,7,0
"C.P.S ANAKU III, AYAMELUM, ANAMBRA",6.4684414,6.9303061,2,103,0,0
"C.P.S ANAKU IV, AYAMELUM, ANAMBRA",6.4684414,6.9303061,0,42,0,0
